1,156,4,1,17,17954.55,0.04,0.02,0,0,9567,9537,9576,0,0
1,68,9,2,36,34850.16,0.09,0.06,0,0,9597,9553,9605,1,1
1,64,5,3,8,7712.48,0.10,0.02,0,0,9523,9559,9525,1,2
1,3,6,4,28,25284.00,0.09,0.06,0,0,9606,9584,9631,2,3
1,25,8,5,24,22200.48,0.10,0.04,0,0,9584,9568,9586,2,4
1,16,3,6,32,29312.32,0.07,0.02,0,0,9524,9532,9528,0,1
2,107,2,1,38,38269.80,0.00,0.05,0,0,9888,9874,9893,1,5
3,5,2,1,45,40725.00,0.06,0.00,1,1,8797,8768,8818,2,3
3,20,10,2,49,45080.98,0.10,0.00,1,1,8712,8753,8727,1,5
3,129,8,3,27,27786.24,0.06,0.07,2,1,8780,8725,8787,0,6
3,30,5,4,2,1860.06,0.01,0.06,2,1,8737,8771,8765,2,0
3,184,5,5,28,30357.04,0.04,0.00,1,1,8747,8774,8765,1,4
3,63,8,6,26,25039.56,0.10,0.02,2,1,8701,8751,8707,1,5
4,89,10,1,30,29672.40,0.03,0.08,0,0,9504,9477,9512,0,2
5,109,10,1,15,15136.50,0.02,0.04,1,1,9068,9007,9088,2,3
5,124,5,2,26,26627.12,0.07,0.08,1,1,9053,9032,9056,2,4
5,38,4,3,50,46901.50,0.08,0.03,2,1,8984,9050,9002,0,3
6,140,6,1,37,38485.18,0.08,0.03,2,1,8151,8169,8156,1,0
7,183,4,1,12,12998.16,0.07,0.03,0,0,9622,9567,9649,1,4
7,146,3,2,9,9415.26,0.08,0.08,0,0,9526,9556,9544,1,6
7,95,8,3,46,45774.14,0.10,0.07,0,0,9509,9581,9528,3,1
7,164,5,4,28,29796.48,0.03,0.04,0,0,9575,9593,9605,2,4
7,152,4,5,38,39981.70,0.08,0.01,0,0,9536,9549,9543,0,0
7,80,10,6,35,34302.80,0.06,0.03,0,0,9510,9548,9516,1,4
7,158,3,7,5,5290.75,0.04,0.02,0,0,9535,9580,9538,2,4
32,83,4,1,28,27526.24,0.05,0.08,0,0,9425,9368,9428,1,0
32,198,10,2,32,35142.08,0.02,0.00,0,0,9355,9409,9368,3,3
32,45,2,3,2,1890.08,0.09,0.02,0,0,9348,9409,9364,0,3
32,3,8,4,4,3612.00,0.09,0.03,0,0,9345,9403,9375,2,2
32,86,7,5,44,43387.52,0.05,0.06,0,0,9369,9361,9386,0,3
32,12,6,6,6,5472.06,0.04,0.03,0,0,9331,9395,9335,3,5
33,62,7,1,31,29823.86,0.09,0.04,2,1,8701,8752,8711,3,0
33,61,8,2,32,30753.92,0.02,0.05,2,1,8742,8768,8761,3,1
33,138,4,3,5,5190.65,0.05,0.03,2,1,8742,8758,8756,1,3
33,34,5,4,41,38295.23,0.09,0.00,1,1,8712,8788,8714,1,1
34,89,10,1,13,12858.04,0.00,0.07,0,0,10521,10482,10535,2,2
34,90,1,2,22,21781.98,0.08,0.06,0,0,10507,10514,10510,2,4
34,170,7,3,6,6421.02,0.02,0.06,0,0,10528,10488,10534,2,4
35,1,4,1,24,21624.00,0.02,0.00,0,0,9546,9497,9572,1,4
35,162,1,2,34,36113.44,0.06,0.08,0,0,9516,9500,9521,0,5
35,121,4,3,7,7147.84,0.06,0.04,0,0,9513,9485,9523,2,1
35,86,7,4,25,24652.00,0.06,0.05,0,0,9459,9488,9484,0,6
35,120,7,5,34,34684.08,0.08,0.06,0,0,9441,9509,9459,3,1
35,31,7,6,28,26068.84,0.03,0.02,0,0,9526,9487,9553,3,5
36,120,1,1,42,42845.04,0.09,0.00,0,0,9528,9515,9548,3,6
37,23,8,1,40,36920.80,0.09,0.03,2,1,8236,8247,8261,2,2
37,127,6,2,39,40057.68,0.05,0.02,2,1,8217,8264,8243,1,5
37,13,7,3,43,39259.43,0.05,0.08,2,1,8225,8221,8248,0,0
38,176,5,1,44,47351.48,0.04,0.02,0,0,9767,9816,9768,3,1
39,3,10,1,44,39732.00,0.09,0.06,0,0,9813,9844,9841,3,5
39,187,8,2,26,28266.68,0.08,0.04,0,0,9803,9788,9819,2,4
39,68,3,3,46,44530.76,0.06,0.08,0,0,9764,9848,9794,0,3
