200,82,5235,-534,573,-8479,0.8882244,0.7346585427037533,225,-97
14,-89,4847,557,246,6845,0.19743992,0.6735912853501502,227,127
58,-57,7610,935,9771,2069,0.9923728,0.19198279309439947,184,-124
164,14,3298,247,2108,-1827,0.8468459,0.920403937736666,194,-82
39,-14,4263,-477,4931,4931,0.7211194,0.025854190986898562,100,7
238,100,8269,156,3439,-707,0.43660992,0.023042209672241798,182,61
165,46,492,-42,9425,6696,0.24557444,0.9956600475300597,249,45
142,-94,3168,62,5879,8963,0.68404937,0.015039713364382812,145,73
116,-91,3094,413,3495,-5157,0.5905226,0.9775351024920214,221,47
226,-38,2707,830,2378,506,0.6258205,0.7946534221058357,160,-118
87,0,9491,-963,7743,3286,0.5817841,0.2999177599984396,14,96
159,76,8588,-579,7084,-982,0.29716742,0.5569005434696782,94,-101
195,20,6463,-671,4131,-2017,0.9177281,0.7633677547680602,7,-45
203,-23,3867,918,4753,-2021,0.4862539,0.6455015215368652,215,-111
234,-16,775,719,6496,1002,0.5156733,0.9911050385316791,75,99
104,41,1328,-887,8928,464,0.089373894,0.48537937522467445,37,-71
194,-5,4437,903,9005,-3204,0.24475451,0.9180450732065761,29,90
12,-101,793,-34,5413,-7864,0.9654111,0.486552804538532,25,100
196,-17,2643,854,4388,5501,0.8465457,0.9794504920948095,104,-45
240,84,4573,-602,5691,4374,0.023441432,0.6615626874692132,113,9
92,97,9251,277,5487,-991,0.68377,0.013169975692080782,243,-91
41,6,996,271,4111,9817,0.13684389,0.6488269619095558,96,54
6,-54,6645,19,3101,-4676,0.09855881,0.26489017468000686,179,68
224,-81,1941,-587,466,7728,0.087096155,0.23597325662373347,57,34
38,-83,1731,-855,4829,9631,0.33312336,0.8576492305128813,255,-63
176,50,8767,979,6486,2933,0.70364803,0.39424879888061903,207,-41
158,-117,7338,-264,4555,5405,0.35948312,0.4725866854763098,190,69
254,70,5744,673,3118,-9347,0.68917346,0.4577109296587122,22,-83
21,-79,7887,-420,4745,-1002,0.63042235,0.8295484057717657,231,-121
86,10,8903,-421,5972,9284,0.36195678,0.4071893238152293,45,3
69,63,3565,-41,1256,-47,0.968588,0.6743055210639889,222,104
87,-88,2487,-218,3290,7466,0.51084626,0.19848637317046525,243,72
219,-17,8220,-382,4938,-8647,0.7073791,0.3829911823783134,218,-25
165,-124,9995,-247,2156,4207,0.8028039,0.03732850755685124,94,104
216,30,4503,-182,5686,2310,0.049674504,0.09413331774842126,143,17
156,14,5135,593,6984,-4088,0.077437155,0.21644496089514031,69,113
