915679,572879.402034,FPTOkVyLGS,145207,381800.578481,yjTKNvbFsn
728494,178686.386474,czwapnSobR,877826,915348.530597,idrIrDzqJX
561019,440476.295816,yVzdaeNBYw,221093,629872.228204,1FROE2O7Cu
453545,795773.380121,DSdNcI9G6K,573254,878097.609730,8lEzv25WmK
535228,32005.145607,LpQUDuMZBd,642399,266256.735344,AtHTR7fwPU
283668,863424.564440,nLNKPv6LeI,988452,912713.771616,Y1j9MrgLlx
884134,193931.167338,strbOGyZaC,745356,138734.696738,GZkx6SF1Oq
587940,34208.239531,WYdwzfGe8l,634084,862272.335227,If6HLciTWV
574145,432234.677901,LSeqnkKWDK,414908,672406.338426,Nvaoo8HnSh
622375,351815.300385,bdioG3lV17,536850,777375.187905,VvsIKyy88K
249892,369989.936711,M3gD5UPmcx,544817,662599.773555,bXMsBsKhW8
130998,105550.011137,VtWrxAPemF,652791,638301.008762,rK9xb0QwGf
470129,603756.963109,LAQSKDwfYj,68874,963788.751942,e7RDqGIoYq
509908,94353.960328,cwXaNpHJNj,500808,545153.211261,vcvYVR3iEp
219474,162541.317635,pHr8mbifv2,96814,968245.980650,uXhbEaaq1u
688954,718080.607023,GG6FBEyYPO,47181,213073.470006,3k8XQSTPDU
725133,752064.298643,Hl6X3lu4rM,105899,171366.413339,t2quKkG0tP
195946,162348.024784,2T5JleUll4,614489,904935.453058,gehZJVwiS0
721149,97992.375019,1rRwTEqpXN,593360,267218.927687,GTYf6iHMzp
258019,761663.587712,Nqz8mbEAW9,64920,499547.028304,YABoIHJ1Od
436994,206938.857395,99kwjn3OWm,62846,444541.258874,IBVanZ3PkG
559204,689409.713971,SeGOFsvjAj,795965,314772.741235,SXsBECDULQ
829313,98882.781354,gUpX6HPJtH,229370,728137.922701,8Lh1M6icFP
743809,506173.704530,HA9j62ZZ21,559636,37280.651776,d3waWiXXVf
663322,664971.165797,qFjfEjaL0s,602101,2990.686106,xDkUXWTwMO
284967,42966.528442,CyZbX7WjXW,858096,73158.380610,wEJHVP7pG9
402609,377864.356781,ZHllOxnp8C,723431,849574.817411,vYUwjBNFBK
180920,828688.678267,ZH23DWslLR,772030,808281.993080,dIgTinAGvN
764713,508867.716791,pisPlSvMgn,274902,657873.453609,C9NoQX3OWz
109512,822970.861697,RjsWm76hPl,587434,378063.208317,96pg0C4ucb
164061,534471.635750,qTMJWoNJI2,494950,927568.471588,S0jWLgdjtC
266723,366557.593221,HqTD7IwMse,584362,667418.739482,ONXn7jrR81
433986,901563.732250,dzRNXiL0S1,298621,798745.266498,oiH6ppcOtL
516272,493958.537086,vfYDduwy4T,56353,644191.098115,tb5eOPYglU
325025,2995.935419,cC1d30P0FR,654113,638492.025400,Hqau2aOxl2
