1,2,3325,771.64
1,4,8076,993.49
1,6,3956,337.09
1,8,4069,357.84
2,3,8895,378.49
2,5,4969,915.27
2,7,8539,438.37
2,9,3025,306.39
3,4,4651,920.92
3,6,4093,498.13
3,8,3917,645.40
3,10,9942,191.92
4,5,1339,113.97
4,7,6377,591.18
4,9,2694,51.37
4,1,2480,444.37
5,6,3735,255.88
5,8,9653,50.52
5,10,1329,219.83
5,2,6925,537.98
6,7,8851,130.72
6,9,1627,424.25
6,1,3336,642.13
6,3,6451,175.32
7,8,7454,763.98
7,10,2770,149.66
7,2,3377,68.77
7,4,9460,299.58
8,9,6834,249.63
8,1,396,957.34
8,3,9845,220.62
8,5,8126,916.91
9,10,7054,84.20
9,2,7542,811.84
9,4,9583,381.31
9,6,3063,291.84
10,1,2952,996.12
10,3,3335,673.27
10,5,5691,164.00
10,7,841,374.02
11,2,4540,709.87
11,5,4729,894.90
11,8,3708,818.74
11,1,3213,471.98
12,3,3610,659.73
12,6,7606,332.81
12,9,824,337.06
12,2,5454,901.70
13,4,612,169.44
13,7,7268,862.70
13,10,864,38.64
13,3,9736,327.18
14,5,5278,650.07
14,8,5334,889.50
14,1,3676,893.39
14,4,4947,310.13
15,6,7047,835.70
15,9,3336,784.55
15,2,3316,265.89
15,5,5255,458.67
16,7,5282,709.16
16,10,9412,887.53
16,3,854,781.91
16,6,1491,918.51
17,8,8555,995.35
17,1,7737,648.75
17,4,3123,555.04
17,7,3203,64.40
18,9,1125,664.17
18,2,8132,52.44
18,5,3133,568.61
18,8,6475,386.29
19,10,1416,144.80
19,3,5467,405.70
19,6,8800,635.66
19,9,1340,346.92
20,1,2927,675.54
20,4,2723,305.84
20,7,5905,546.66
20,10,4271,115.89
21,2,6571,944.44
21,6,1704,139.05
21,10,7153,664.50
21,4,367,584.86
22,3,4410,786.18
22,7,9779,635.84
22,1,7834,359.16
22,5,1434,597.21
23,4,2739,460.12
23,8,5739,103.13
23,2,9898,233.94
23,6,7035,51.75
24,5,5180,905.41
24,9,2227,511.20
24,3,7182,582.03
24,7,5318,62.15
25,6,9029,832.74
25,10,9062,928.96
25,4,9946,694.35
25,8,7340,746.59
26,7,5020,683.96
26,1,6577,892.20
26,5,3499,382.11
26,9,9702,821.89
27,8,2111,444.01
27,2,9080,157.03
27,6,3407,151.34
27,10,4283,348.61
28,9,6643,204.86
28,3,2452,744.57
28,7,302,690.30
28,1,9988,666.53
29,10,3506,799.27
29,4,8106,981.33
29,8,9193,734.44
29,2,6252,186.21
30,1,4767,989.05
30,5,535,743.26
30,9,7756,568.86
30,3,7945,583.84
31,2,9685,620.84
31,7,1951,120.99
31,2,1402,761.64
31,7,137,849.11
32,3,2203,406.03
32,8,467,109.34
32,3,7975,747.14
32,8,7938,856.09
33,4,4028,891.46
33,9,4410,929.05
33,4,1287,310.76
33,9,6006,327.19
34,5,9934,848.75
34,10,4749,265.31
34,5,5459,824.69
34,10,5884,609.69
35,6,2500,451.58
35,1,8875,537.72
35,6,596,669.19
35,1,2025,411.17
36,7,3907,630.91
36,2,174,434.47
36,7,2625,569.91
36,2,8209,289.15
37,8,7171,824.96
37,3,5542,126.59
37,8,7113,15.72
37,3,1449,745.64
38,9,1226,570.11
38,4,4237,662.75
38,9,1135,160.70
38,4,3516,847.09
39,10,3633,463.10
39,5,3682,300.43
39,10,5475,532.26
39,5,6259,737.86
40,1,7690,776.13
40,6,1704,565.82
40,1,4521,374.71
40,6,6617,196.64
41,2,9040,488.55
41,8,5946,391.81
41,4,1550,916.55
41,10,560,37.59
42,3,2893,716.81
42,9,2927,709.06
42,5,3500,200.00
42,1,3662,29.46
43,4,3211,805.78
43,10,6770,493.19
43,6,9506,493.65
43,2,3232,307.12
44,5,486,164.22
44,1,5310,114.37
44,7,3534,383.01
44,3,4798,833.15
45,6,1685,919.63
45,2,5202,877.29
45,8,5669,532.70
45,4,1872,155.32
46,7,4171,244.65
46,3,8518,106.80
46,9,7225,14.78
46,5,1381,985.88
47,8,6989,292.52
47,4,4458,539.47
47,10,2896,74.54
47,6,5873,296.63
48,9,5052,611.16
48,5,9451,191.36
48,1,5564,668.19
48,7,1719,606.16
49,10,9056,35.11
49,6,6646,908.15
49,2,5336,713.25
49,8,597,812.62
50,1,1832,565.54
50,7,43,690.87
50,3,6160,301.06
50,9,2104,107.17
51,2,837,310.74
51,9,7318,85.03
51,6,138,728.95
51,3,8062,901.04
52,3,6533,54.92
52,10,1937,210.44
52,7,4084,628.53
52,4,5524,424.93
53,4,6443,192.78
53,1,5319,563.44
53,8,8200,388.08
53,5,6929,224.83
54,5,2515,686.51
54,2,7079,798.98
54,9,2386,23.78
54,6,536,259.24
55,6,7874,611.04
55,3,8460,236.27
55,10,8278,134.62
55,7,1289,130.33
56,7,241,855.39
56,4,9104,54.79
56,1,1330,52.29
56,8,5799,926.25
57,8,2972,123.11
57,5,4721,411.08
57,2,3788,211.66
57,9,4583,137.68
58,9,4328,542.52
58,6,4307,448.31
58,3,4136,512.24
58,10,9689,25.09
59,10,8374,357.22
59,7,4226,80.98
59,4,99,598.55
